especie;altura estipite;altura total;tipologia;ug;barrio;distrito;Elemento;fecha  plantacion;marras;x;y;Crecimiento medio (m);media del est°pte (m);Altura media ambiente urbano (m);Varianza altura (m);varianza est°pite (m);desviacion estandar;CV
"Arecastrum
romanzoffianum";3.5;6;Parque Urbano;"URBANIZACI”N P-7 (PINO
MONTANO), PARQUE";BARRIADA PINO MONTANO;Norte;"Palmera Zona
Verde";;;237034.52;4146259.71;;;;;;;
"Arecastrum
romanzoffianum";3.5;4;Parque Periurbano;Parque Vega de Triana;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;232521.61;4140545.22;;;;;;;
Beaucarnea recurvata;1.5;2;Parque Periurbano;JARDIN AMERICANO;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;233969.52;4143296.02;2;9.75;1.5;0;0;0;0
Beaucarnea recurvata;1.5;2;Parque Periurbano;JARDIN AMERICANO;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;233970.64;4143293.79;;;;;;;
Beaucarnea recurvata;1.5;2;Parque Periurbano;JARDIN AMERICANO;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;233968.55;4143293.62;;;;;;;
Butia capitata;2;3.5;Parque Periurbano;JARDIN AMERICANO;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;234015.42;4143301.33;3.29;1.81;7;43.87;0.87;1.17;0.36
Butia capitata;2;3;Parque Periurbano;JARDIN AMERICANO;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;233981.94;4143260.03;;;;;;;
Butia capitata;0.5;1.5;Parque Periurbano;JARDIN AMERICANO;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;233985.43;4143257.49;;;;;;;
Butia capitata;2;3.5;Parque Periurbano;JARDIN AMERICANO;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;233987.85;4143255.22;;;;;;;
Butia capitata;2;3;Parque Periurbano;JARDIN AMERICANO;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;233987.09;4143260.16;;;;;;;
Butia capitata;3;4.5;Parque Periurbano;JARDIN AMERICANO;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;233937.93;4143160.6;;;;;;;
Butia capitata;3;5;Parque Periurbano;JARDIN AMERICANO;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;233939.98;4143161.3;;;;;;;
Butia capitata;2.5;5;Parque Periurbano;JARDIN AMERICANO;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;233937.29;4143162.98;;;;;;;
Butia capitata;0.5;1;Parque Periurbano;JARDIN AMERICANO;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;233992.58;4143268.62;;;;;;;
Butia capitata;3;3.5;Parque Periurbano;JARDIN AMERICANO;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;234012.75;4143299.08;;;;;;;
Butia capitata;1;2;Parque Periurbano;JARDIN AMERICANO;TRIANA OESTE;Triana;"Palmera Zona
Verde";;;233985.78;4143281.27;;;;;;;
